  =  0.18269
ю  =  0.00219
юб =  0.00025
юв =  0.00003
юг =  0.00001
юд =  0.00045
юе =  0.00002
юж =  0.00001
юз =  0.00001
юк =  0.00007
юл =  0.00000
юм =  0.00002
юн =  0.00003
юр =  0.00002
юс =  0.00016
ют =  0.00049
юх =  0.00003
юч =  0.00012
юш =  0.00005
ющ =  0.00034
юю =  0.00003
я  =  0.01155
яб =  0.00002
яв =  0.00031
яг =  0.00018
яд =  0.00079
яе =  0.00013
яж =  0.00013
яз =  0.00020
яи =  0.00004
яй =  0.00007
як =  0.00018
ял =  0.00112
ям =  0.00038
ян =  0.00062
яо =  0.00001
яп =  0.00004
яр =  0.00010
яс =  0.00059
ят =  0.00121
яу =  0.00001
ях =  0.00013
яц =  0.00002
яч =  0.00011
яш =  0.00014
ящ =  0.00017
яю =  0.00011
яя =  0.00013
Entropy with spaces = 3.967081072618828
R = 0.20658378547623435
   =  0.01918
 а =  0.00171
 б =  0.00586
 в =  0.01434
 г =  0.00413
 д =  0.00765
 е =  0.00388
 ж =  0.00236
 з =  0.00570
 и =  0.00838
 к =  0.00822
 л =  0.00454
 м =  0.00775
 н =  0.01685
 о =  0.01118
 п =  0.01584
 р =  0.00441
 с =  0.01587
 т =  0.00891
 у =  0.00457
 ф =  0.00028
 х =  0.00163
 ц =  0.00020
 ч =  0.00419
 ш =  0.00101
 щ =  0.00015
 э =  0.00185
 ю =  0.00004
 я =  0.00203
а  =  0.01977
аа =  0.00009
аб =  0.00122
ав =  0.00246
аг =  0.00056
ад =  0.00164
ае =  0.00110
аж =  0.00105
аз =  0.00303
аи =  0.00013
ай =  0.00080
ак =  0.00552
ал =  0.00859
ам =  0.00290
ан =  0.00299
ао =  0.00005
ап =  0.00096
ар =  0.00440
ас =  0.00361
ат =  0.00498
ау =  0.00010
аф =  0.00007
ах =  0.00098
ац =  0.00010
ач =  0.00093
аш =  0.00096
ащ =  0.00044
аю =  0.00081
ая =  0.00189
б  =  0.00040
ба =  0.00114
бб =  0.00001
бв =  0.00004
бг =  0.00000
бд =  0.00002
бе =  0.00210
бж =  0.00002
бз =  0.00000
би =  0.00088
бк =  0.00018
бл =  0.00068
бм =  0.00004
бн =  0.00035
бо =  0.00250
бп =  0.00000
бр =  0.00107
бс =  0.00009
бт =  0.00000
бу =  0.00115
бх =  0.00005
бц =  0.00001
бч =  0.00002
бш =  0.00000
бщ =  0.00020
бъ =  0.00009
бы =  0.00249
бь =  0.00006
бя =  0.00083
в  =  0.00557
ва =  0.00741
вб =  0.00002
вв =  0.00007
вг =  0.00003
вд =  0.00032
ве =  0.00420
вж =  0.00002
вз =  0.00051
ви =  0.00248
вк =  0.00027
вл =  0.00067
вм =  0.00013
вн =  0.00100
во =  0.00573
вп =  0.00016
вр =  0.00056
вс =  0.00245
вт =  0.00025
ву =  0.00081
вх =  0.00007
вц =  0.00002
вч =  0.00008
вш =  0.00037
вщ =  0.00001
въ =  0.00000
вы =  0.00243
вь =  0.00022
вя =  0.00017
г  =  0.00078
га =  0.00108
гб =  0.00000
гв =  0.00001
гг =  0.00000
гд =  0.00106
ге =  0.00012
ги =  0.00062
гк =  0.00012
гл =  0.00203
